L_ID,year,month,Source_main,Source_Sub
ABC0013858,2022,7,NULL,232056.45
ABC0013862,2021,3,NULL,NULL
ABC0013862,2021,4,NULL,NULL
ABC0013862,2021,5,NULL,NULL
ABC0013862,2021,6,NULL,NULL
ABC0013862,2021,7,NULL,NULL
ABC0013862,2021,8,NULL,NULL
ABC0013862,2021,9,NULL,NULL
ABC0013862,2021,10,NULL,NULL
ABC0013862,2021,11,NULL,NULL
ABC0013862,2021,12,NULL,NULL
ABC0013862,2022,1,NULL,NULL
ABC0013862,2022,2,NULL,NULL
ABC0013862,2022,3,NULL,NULL
ABC0013862,2022,4,NULL,NULL
ABC0013862,2022,5,NULL,NULL
ABC0013862,2022,6,NULL,NULL
ABC0013862,2022,7,NULL,NULL
ABC0013864,2021,1,2228.19,2339.595
ABC0013864,2021,2,27282.3,30957.54
ABC0013864,2021,3,26831.385,28148.16
ABC0013864,2021,4,25293.795,26644.32
ABC0013864,2021,5,30466.515,31944.975
ABC0013864,2021,6,27554.595,27366.765
ABC0013864,2021,7,25993.935,26937.6
ABC0013864,2021,8,21079.755,22541.415
ABC0013864,2021,9,31845.84,33432.795
ABC0013864,2021,10,28951.605,30399.21
ABC0013864,2021,11,28148.79,29299.35
ABC0013864,2021,12,30794.685,31854.93
ABC0013864,2022,1,28911.765,30255.09
ABC0013864,2022,2,27371.97,28740.54
ABC0013864,2022,3,33602.955,35450.52
ABC0013864,2022,4,30823.62,33034.17
ABC0013864,2022,5,29779.5,31268.46
ABC0013864,2022,6,28732.71,30169.365
ABC0013864,2022,7,NULL,10003.665
ABC0013872,2021,2,22302.855,23417.61
ABC0013872,2021,3,41855.325,44293.02
ABC0013872,2021,4,29950.395,31447.92
ABC0013872,2021,5,21929.565,21951.63
ABC0013872,2021,6,21249.615,22258.545
ABC0013872,2021,7,15644.79,16402.665
ABC0013872,2021,8,17767.74,19426.035
ABC0013872,2021,9,17703.24,18680.595
ABC0013872,2021,10,19060.965,20091.045
ABC0013872,2021,11,19459.695,21645
ABC0013872,2021,12,21792.345,22825.275
ABC0013872,2022,1,21947.85,23045.235
ABC0013872,2022,2,22302.855,29020.125
ABC0013872,2022,3,28658.31,30712.62
ABC0013872,2022,4,29877.15,30647.94
ABC0013872,2022,5,27096.69,23856.42
ABC0013872,2022,6,18096.675,19764
ABC0013872,2022,7,NULL,13636.275
ABC0013887,2021,5,154874.43,162618
ABC0013887,2021,6,187052.64,196405.125
ABC0013887,2021,7,218607.15,229469.625
ABC0013887,2021,8,182026.455,190955.25
ABC0013887,2021,9,196378.5,206197.125
ABC0013887,2021,10,314654.235,330387
ABC0013887,2021,11,388128.72,407527.875
ABC0013887,2021,12,348799.815,366263.625
ABC0013887,2022,1,334015.62,347523.75
ABC0013887,2022,2,300063.105,315066.375
ABC0013887,2022,3,455761.725,478549.875
ABC0013887,2022,4,340058.745,356697.45
ABC0013887,2022,5,358009.47,375505.875
ABC0013887,2022,6,326048.715,342246
ABC0013887,2022,7,NULL,267641.25
ABC0013894,2021,1,NULL,NULL
ABC0013894,2021,2,NULL,NULL
ABC0013894,2021,3,NULL,NULL
ABC0013894,2021,4,NULL,NULL
ABC0013894,2021,5,NULL,NULL
ABC0013894,2021,6,NULL,NULL
ABC0013894,2021,7,NULL,NULL
